,links,longitude,latitude
76,https://minibieb.nl/minibieb/missvissch-minibieb-purmerend/,52.494125,4.92623
77,https://minibieb.nl/minibieb/minibieb-yellowlaan/,52.661716,5.0853662
78,https://minibieb.nl/minibieb/minibieb-maasstraat/,51.901215,4.2484856
79,https://minibieb.nl/minibieb/minibieb-saftlevenkwartier/,51.913345,4.4653735
80,https://minibieb.nl/minibieb/minibieb-alexiahof-ermelo/,52.314426,5.621043
81,https://minibieb.nl/minibieb/zeehaven/,52.160465,5.8323026
82,https://minibieb.nl/minibieb/de-overboeking/,52.144753,4.4129853
83,https://minibieb.nl/minibieb/minibieb-treize/,52.025864,5.523363
84,https://minibieb.nl/minibieb/martines-minibieb/,52.7581,4.9110956
85,https://minibieb.nl/minibieb/mi-ni-bi-eb/,51.950115,4.201026
86,https://minibieb.nl/minibieb/minibieb-aan-de-heemraad-in-maasland/,51.93106,4.273525
87,https://minibieb.nl/minibieb/t-berghuisje/,52.431313,4.638956
88,https://minibieb.nl/minibieb/minibieb-maarschalklaan/,52.0363,4.954593
89,https://minibieb.nl/minibieb/minibieb-in-hoek-van-holland/,51.97604,4.1346464
90,https://minibieb.nl/minibieb/mijn-minibieb-in-de-voortuin/,51.975513,4.1381483
91,https://minibieb.nl/minibieb/hedibieb/,52.062042,4.2695813
92,https://minibieb.nl/minibieb/minibieb-werk-aan-het-spoor-2/,51.89575,5.1185775
93,https://minibieb.nl/minibieb/minibieb-aan-de-hei/,52.236237,5.1978774
94,https://minibieb.nl/minibieb/kinderbiebje-aan-de-zuiderheide-hilversum/,52.236237,5.1977305
95,https://minibieb.nl/minibieb/pinetum-blijdenstein-hil/,52.229446,5.159599
96,https://minibieb.nl/minibieb/boek-op-drift-hilversum/,52.22396,5.1842036
97,https://minibieb.nl/minibieb/minibieb-de-poolster-hilversum/,52.232536,5.1983986
98,https://minibieb.nl/minibieb/zwinglibieb-hilversum/,52.21304,5.1375647
99,https://minibieb.nl/minibieb/minibieb-kapteynstraat-hilversum/,52.22988,5.194294
100,https://minibieb.nl/minibieb/de-witte-bibliotheek/,52.23596,5.182108
101,https://minibieb.nl/minibieb/mini-bib-in-oprichting/,52.21191,5.1657314
102,https://minibieb.nl/minibieb/minibieb-publieke-werken/,52.23173,5.202491
103,https://minibieb.nl/minibieb/minibieb-lam/,52.223106,5.187672
104,https://minibieb.nl/minibieb/heidebieb/,52.220463,5.1538496
105,https://minibieb.nl/minibieb/kleine-drift/,52.22596,5.186503
106,https://minibieb.nl/minibieb/minibieb-planetenstraat/,52.230503,5.1989975
107,https://minibieb.nl/minibieb/geef-en-neem-kasten-in-het-wijkcentrum/,52.241333,5.1784835
108,https://minibieb.nl/minibieb/minibieb-jhb/,52.220036,5.1747494
109,https://minibieb.nl/minibieb/minibieb-liebergerweg/,52.22145,5.1994605
110,https://minibieb.nl/minibieb/busken-bieb/,52.218616,5.1596527
111,https://minibieb.nl/minibieb/tandarts-kaptein-en-hooykaas/,52.232452,5.159937
112,https://minibieb.nl/minibieb/bankstraat-27-utrecht-minibieb/,52.087303,5.135769
113,https://minibieb.nl/minibieb/minibieb-arnoldus-utrecht/,52.108562,5.0908003
114,https://minibieb.nl/minibieb/alles-draait-om-het-gedrukte-woord-utrecht/,52.08587,5.1202946
115,https://minibieb.nl/minibieb/vlambloempje-vleuten/,52.097786,5.00247
116,https://minibieb.nl/minibieb/minibieb-sf-thrillers-amersfoort/,52.146782,5.3703427
117,https://minibieb.nl/minibieb/minibieb-van-lies-utrecht/,52.11604,5.07915
118,https://minibieb.nl/minibieb/minibieb-steede-hoge-woerd-utrecht/,52.0873,5.042133
119,https://minibieb.nl/minibieb/zwerfboekenkast-stadstuin-klopvaart-utrecht/,52.12732,5.099354
120,https://minibieb.nl/minibieb/utrecht-n75/,52.086647,5.1194415
121,https://minibieb.nl/minibieb/veenhof-minibieb-utrecht/,52.101364,5.1119704
122,https://minibieb.nl/minibieb/carlas-minibieb-amerongen/,51.99941,5.453867
123,https://minibieb.nl/minibieb/minibieb-sartreweg/,52.104763,5.1445317
124,https://minibieb.nl/minibieb/bibliofilipijnen/,52.059216,5.1311855
125,https://minibieb.nl/minibieb/19357/,52.062653,5.12824
126,https://minibieb.nl/minibieb/minibieb-in-de-vogelenbuurt-utrecht/,52.09996,5.1184154
127,https://minibieb.nl/minibieb/de-slimme-vos/,52.1067,5.129916
128,https://minibieb.nl/minibieb/scheepsbibliotheek/,52.064022,5.114076
129,https://minibieb.nl/minibieb/minibieb-smaragdhof/,52.07351,5.1239567
130,https://minibieb.nl/minibieb/grave-van-solmsstraat-35-utrecht/,52.101376,5.1175313
131,https://minibieb.nl/minibieb/in-de-albert-heijn-troosterhof-14-utrecht/,52.106636,5.1346917
132,https://minibieb.nl/minibieb/maxibieb-de-argonauten/,52.090477,5.042451
133,https://minibieb.nl/minibieb/minibieb-de-argonauten/,52.090477,5.0423045
134,https://minibieb.nl/minibieb/30ml-coffee-food-nachtegaalstraat/,52.091457,5.1315994
135,https://minibieb.nl/minibieb/les-livres-de-foret-noire/,52.064693,5.1426144
136,https://minibieb.nl/minibieb/kinderruilpunt-lunetten/,52.061092,5.1334205
